Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
Marc-Oliver Kempf,de GER,DF,Como,it Serie A,30.0,1995.0,27,26,2255,25.1,0.0,0.0,0.0,0.0,0.05,0.1,0.05,0.1,5.0,4.0,80.0,1.0,20.0,69.08,10.2,34.58,31.91,2.99,0.84,69.08,0.2,0.16,0.04,38.96,178.92,89.88,0.56,0.28,0.04,0.4,0.16,45.06,0.12,1.28,0.04,1.08,0.0,0.0,0.2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1294.0,1484.0,87.2,22782.0,8598.0,552.0,595.0,92.8,618.0,663.0,93.2,104.0,181.0,57.5,0.0,0.05,0.04,-0.05,0.4,4.02,0.36,0.04,3.03,59.12,54.3,4.46,1.99,0.12,0.48,0.16,0.48,0.0,0.0,0.0,0.0,51.55,0.36,0.4,0.6,0.12,0.0,0.0,0.09,-1.3,-1.3,72.4,0.2,0.04,0.04,0.72,0.64,0.0,1.16,0.72,0.0,0.0,3.43,3.55,1.35,1.08,0.48,0.56,0.04,0.44,0.84,0.4,1.16,0.84,2.23,4.46,0.12,52.4
Milos Kerkez,hu HUN,DF,Bournemouth,eng Premier League,21.0,2003.0,33,33,2897,32.2,0.06,0.22,0.06,0.22,0.02,0.12,0.01,0.12,43.0,19.0,44.2,14.0,32.6,57.7,3.14,14.97,24.29,19.13,1.77,57.7,1.34,0.59,0.43,28.76,167.08,98.07,2.76,1.93,0.47,1.3,0.56,31.18,5.0,2.3,0.28,1.86,0.09,0.03,0.06,0.16,0.09,0.22,0.0,0.03,0.0,0.0,0.03,1141.0,1513.0,75.4,17883.0,5978.0,625.0,700.0,89.3,418.0,535.0,78.1,71.0,193.0,36.8,0.16,0.1,0.07,0.05,0.93,2.45,1.06,0.68,4.38,46.99,38.51,8.32,0.5,0.06,0.06,3.57,7.64,0.19,0.12,0.03,0.0,35.43,0.16,1.27,0.53,0.16,0.12,0.4,0.03,1.5,1.5,35.2,0.12,0.0,0.0,0.84,1.37,0.03,1.18,0.81,0.0,0.0,4.6,0.78,1.43,1.52,0.75,0.59,0.19,0.68,1.12,0.43,1.02,0.34,2.7,3.11,0.06,61.1
Bilal El Khannouss,ma MAR,MF,Leicester City,eng Premier League,20.0,2004.0,28,23,1838,20.4,0.1,0.2,0.1,0.2,0.04,0.19,0.04,0.19,46.0,27.0,58.7,17.0,37.0,53.04,0.78,7.55,27.45,18.63,1.32,53.04,2.25,1.32,0.83,30.29,185.1,85.34,2.99,1.86,0.44,1.62,1.57,35.25,3.48,2.75,0.2,2.16,0.25,0.2,0.15,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,685.0,911.0,75.2,12215.0,3447.0,326.0,379.0,86.0,264.0,327.0,80.7,81.0,143.0,56.6,0.1,0.15,0.11,-0.05,1.42,3.82,1.23,0.25,5.49,44.66,38.92,5.54,0.93,0.44,0.29,3.63,0.59,1.47,0.83,0.39,0.05,33.58,0.2,1.08,1.08,0.29,0.09,0.33,0.04,1.2,1.2,51.4,0.2,0.0,0.0,1.32,0.44,0.0,0.29,1.23,0.0,0.0,3.97,0.93,0.88,2.21,0.74,1.23,0.25,0.69,1.23,0.54,0.88,0.2,2.5,0.44,0.15,56.0
Wahbi Khazri,tn TUN,"FW,MF",Montpellier,fr Ligue 1,34.0,1991.0,26,10,1018,11.3,0.09,0.18,0.09,0.18,0.19,0.38,0.19,0.38,20.0,5.0,25.0,13.0,65.0,41.06,1.24,5.49,17.96,18.32,2.92,41.06,1.77,0.44,1.15,21.86,128.05,58.67,2.04,1.15,0.8,1.86,2.21,26.11,4.42,3.09,0.18,2.04,0.44,0.09,0.09,0.35,0.09,0.09,0.0,0.09,0.0,0.0,0.0,221.0,326.0,67.8,3834.0,1183.0,116.0,145.0,80.0,62.0,92.0,67.4,32.0,60.0,53.3,0.09,0.19,0.16,-0.11,1.59,2.3,0.62,0.44,2.83,28.85,24.51,4.25,0.8,0.18,0.44,4.07,0.44,1.77,0.44,0.97,0.0,19.56,0.09,1.06,2.92,0.53,0.03,0.17,0.07,-1.2,-1.2,25.9,0.35,0.0,0.0,1.86,2.3,0.53,0.44,1.42,0.0,0.0,3.72,0.62,1.77,2.04,0.44,1.24,0.35,0.62,1.68,1.06,0.97,0.09,2.48,0.62,0.0,36.8
Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,31.0,1994.0,28,27,2363,26.3,0.04,0.04,0.04,0.04,0.05,0.07,0.05,0.07,10.0,4.0,40.0,6.0,60.0,41.06,2.59,11.14,23.0,7.15,1.14,41.06,0.38,0.15,0.23,15.67,66.08,23.73,0.42,0.3,0.08,0.76,0.34,19.62,1.06,1.18,0.04,1.1,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,585.0,812.0,72.0,8171.0,2767.0,352.0,417.0,84.4,178.0,240.0,74.2,24.0,70.0,34.3,0.0,0.02,0.03,-0.02,0.42,2.21,0.34,0.08,2.62,30.87,29.77,0.72,0.38,0.04,0.04,0.72,0.0,0.0,0.0,0.0,0.0,22.24,0.38,0.72,0.5,0.04,0.08,1.0,0.11,-0.4,-0.4,54.3,0.27,0.0,0.0,1.56,0.57,0.0,1.48,1.37,0.0,0.04,3.31,1.44,1.22,2.4,0.99,1.29,0.11,0.84,1.25,0.42,1.14,0.42,3.88,1.94,0.0,66.7
Kialonda,ao ANG,DF,Lecce,it Serie A,27.0,1997.0,19,19,1710,19.0,0.0,0.05,0.0,0.05,0.05,0.08,0.05,0.08,9.0,7.0,77.8,2.0,22.2,53.63,9.0,34.11,17.58,2.37,1.42,53.63,0.47,0.37,0.11,25.63,108.53,48.79,0.16,0.16,0.05,0.63,0.05,32.47,0.21,0.63,0.05,0.47,0.0,0.0,0.16,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,678.0,788.0,86.0,14276.0,4703.0,185.0,201.0,92.0,391.0,428.0,91.4,99.0,144.0,68.8,0.05,0.02,0.03,0.03,0.26,1.05,0.0,0.0,1.32,41.47,39.47,1.89,1.58,0.0,0.21,0.11,0.21,0.0,0.0,0.0,0.0,35.68,0.11,0.21,0.63,0.0,0.0,0.0,0.09,-1.0,-1.0,69.6,0.16,0.0,0.0,0.47,0.84,0.0,1.26,0.63,0.0,0.05,2.53,3.74,1.63,1.63,1.16,0.47,0.0,0.58,0.79,0.21,2.16,1.37,2.89,4.63,0.05,73.3
Kiké,es ESP,FW,Alavés,es La Liga,35.0,1989.0,30,24,2134,23.7,0.51,0.51,0.42,0.42,0.33,0.37,0.27,0.31,29.0,11.0,37.9,16.0,55.2,31.35,0.76,2.41,14.14,15.27,4.09,31.27,1.22,0.46,0.68,18.9,77.09,25.65,0.84,0.51,0.38,3.38,1.39,25.23,5.27,1.48,0.17,1.18,0.0,0.0,0.08,0.21,0.0,0.13,0.0,0.0,0.0,0.04,0.0,326.0,496.0,65.7,4579.0,823.0,189.0,251.0,75.3,96.0,147.0,65.3,19.0,41.0,46.3,0.0,0.04,0.05,-0.04,0.55,1.1,0.25,0.04,1.81,20.93,20.21,0.59,0.08,0.17,0.21,0.51,0.04,0.0,0.0,0.0,0.0,13.76,0.13,0.59,2.07,0.89,0.2,0.48,0.13,4.1,3.7,54.5,0.21,0.04,0.04,1.86,2.07,0.8,0.04,0.46,0.04,0.0,3.04,4.05,3.38,0.59,0.04,0.38,0.17,0.13,0.34,0.21,0.38,0.08,0.63,0.84,0.0,37.5
Max Kilman,eng ENG,DF,West Ham,eng Premier League,27.0,1997.0,33,33,2898,32.2,0.0,0.03,0.0,0.03,0.04,0.08,0.04,0.08,18.0,13.0,72.2,1.0,5.6,62.67,12.61,34.97,25.22,2.95,0.87,62.67,0.56,0.4,0.03,32.8,148.26,85.37,0.87,0.31,0.06,0.43,0.06,41.52,0.16,0.81,0.09,0.75,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.0,0.0,1442.0,1660.0,86.9,27949.0,9577.0,460.0,498.0,92.4,843.0,911.0,92.5,132.0,227.0,58.1,0.03,0.03,0.03,0.0,0.47,2.98,0.09,0.0,3.2,51.55,50.5,0.96,0.68,0.0,0.37,0.06,0.03,0.0,0.0,0.0,0.0,44.78,0.09,0.22,0.34,0.06,0.0,0.0,0.13,-1.4,-1.4,67.3,0.12,0.0,0.0,0.53,0.37,0.06,1.12,0.53,0.0,0.0,4.1,3.07,1.49,0.93,0.4,0.43,0.09,0.59,0.71,0.12,1.68,1.15,2.05,5.56,0.12,82.6
Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,30.0,1995.0,29,28,2487,27.6,0.07,0.29,0.07,0.29,0.06,0.3,0.06,0.3,18.0,9.0,50.0,8.0,44.4,123.95,2.14,16.67,75.54,32.28,0.54,123.95,0.65,0.33,0.29,76.34,386.49,165.76,1.67,2.5,0.04,0.69,0.25,97.79,2.28,5.25,0.62,3.77,1.27,0.04,0.11,0.04,0.04,0.43,0.11,0.04,0.04,0.0,0.0,2895.0,3236.0,89.5,52143.0,14994.0,1296.0,1352.0,95.9,1266.0,1378.0,91.9,305.0,436.0,70.0,0.22,0.25,0.33,-0.03,2.68,14.09,1.63,0.29,11.3,117.25,107.64,9.35,3.95,0.72,1.38,5.76,1.38,3.88,2.43,0.69,0.04,104.89,0.25,1.01,1.05,0.29,0.07,0.25,0.06,0.4,0.4,55.0,0.14,0.0,0.0,0.51,0.76,0.07,0.76,0.98,0.0,0.0,6.01,0.4,0.33,1.59,0.36,0.98,0.25,1.01,1.59,0.58,0.72,0.11,2.36,0.98,0.11,63.6
Joshua King,no NOR,"FW,MF",Toulouse,fr Ligue 1,33.0,1992.0,24,17,1361,15.1,0.33,0.46,0.33,0.46,0.36,0.47,0.36,0.47,47.0,27.0,57.4,19.0,40.4,30.0,1.32,3.64,12.78,14.24,4.9,30.0,3.11,1.79,1.26,15.63,101.13,48.08,1.79,1.06,0.66,2.32,1.85,20.33,6.03,1.72,0.26,1.13,0.0,0.2,0.13,0.13,0.13,0.2,0.0,0.0,0.0,0.07,0.0,207.0,285.0,72.6,2625.0,486.0,131.0,161.0,81.4,58.0,78.0,74.4,4.0,13.0,30.8,0.13,0.11,0.1,0.02,0.99,0.79,0.6,0.07,1.59,18.87,17.35,1.32,0.0,0.0,0.0,0.53,0.26,0.0,0.0,0.0,0.0,13.71,0.2,0.46,2.58,1.06,0.13,0.31,0.14,-0.4,-0.4,40.3,0.13,0.0,0.0,1.92,1.39,0.4,0.2,0.53,0.07,0.0,3.05,1.92,2.85,0.53,0.2,0.2,0.13,0.2,0.6,0.4,0.6,0.2,0.73,1.13,0.0,33.3
