PlayerName,Team,Pos,Age,MP,Starts,Min,90s,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Abakar Sylla,Strasbourg,CB,22.0,13.0,8.0,652.0,7.2,0.14,0.06,0.69,0.0,0.0,0.06,0.41,61.7,87.2,1.24,0.0,0.28,1.24,0.28,2.76,0.97,1.66,4.14,1.66
Abdallah Sima,Brest,AM,23.0,15.0,7.0,634.0,7.0,0.43,0.33,2.84,0.28,0.07,0.4,1.85,23.85,68.5,1.7,3.27,0.71,4.4,6.39,0.71,0.14,0.43,0.85,3.12
Abdoulaye Bamba,Angers,CB,34.0,10.0,7.0,700.0,7.8,0.0,0.0,0.0,0.0,0.04,0.04,1.03,40.76,87.7,1.41,0.13,0.13,0.13,0.39,1.8,1.16,0.77,4.37,0.9
Abdoulaye Niakhate Ndiaye,Brest,CB,22.0,10.0,9.0,794.0,8.8,0.0,0.05,0.45,0.0,0.0,0.05,0.45,46.02,82.0,1.93,0.23,0.0,1.13,0.11,2.04,0.79,1.02,6.57,2.83
Abdoulaye Touré,Le Havre,MF,30.0,16.0,15.0,1334.0,14.8,0.0,0.09,1.35,0.07,0.01,0.1,1.55,38.93,82.1,4.05,0.4,0.61,1.01,1.15,2.56,1.55,1.48,1.89,1.35
Abdukodir Khusanov,Lens,CB,20.0,13.0,11.0,975.0,10.8,0.0,0.02,0.55,0.0,0.03,0.06,1.02,50.58,88.1,3.97,0.18,0.09,0.37,0.55,1.38,2.4,1.57,5.26,2.49
Abner,Lyon,FB,24.0,12.0,9.0,789.0,8.8,0.11,0.02,0.68,0.0,0.05,0.07,1.71,54.18,82.9,5.48,2.17,0.46,2.05,5.13,2.17,0.57,1.37,3.54,0.57
Achraf Hakimi,Paris S-G,FB,26.0,16.0,16.0,1388.0,15.4,0.13,0.14,1.36,0.32,0.32,0.46,4.93,93.11,88.2,7.2,4.47,1.3,3.76,12.58,2.46,1.43,1.04,0.71,0.45
Ado Onaiwu,Auxerre,AM,29.0,19.0,5.0,554.0,6.2,0.32,0.52,2.76,0.0,0.07,0.6,2.6,34.6,72.8,2.76,1.62,0.97,4.06,9.42,0.81,0.32,0.32,1.14,2.76
Adrien Rabiot,Marseille,AM,29.0,15.0,13.0,1225.0,13.6,0.22,0.18,1.69,0.07,0.08,0.25,1.84,57.75,84.6,5.73,2.64,0.73,3.23,5.95,2.5,0.96,0.81,1.62,1.25
Adrien Thomasson,Lens,MF,31.0,20.0,20.0,1633.0,18.1,0.11,0.18,1.27,0.17,0.24,0.42,3.31,53.35,80.6,5.13,0.88,0.83,3.31,4.3,3.42,0.77,1.54,1.21,0.77
Adrien Truffert,Rennes,FB,23.0,19.0,17.0,1492.0,16.6,0.06,0.09,0.97,0.0,0.05,0.14,1.51,49.83,77.2,4.22,2.29,0.6,1.63,6.03,1.87,0.78,1.39,1.93,1.03
Aimen Moueffek,Saint-Étienne,MF,23.0,12.0,5.0,496.0,5.5,0.0,0.13,0.91,0.0,0.04,0.16,1.27,32.84,86.7,2.72,1.09,0.91,1.27,1.09,2.0,0.36,1.09,3.08,1.27
Ainsley Maitland-Niles,Lyon,FB,27.0,19.0,12.0,1142.0,12.7,0.08,0.08,1.02,0.16,0.15,0.23,1.73,52.33,81.5,4.49,1.34,0.79,2.99,4.81,2.99,1.34,1.42,2.36,0.47
Aïssa Mandi,Lille,FB,33.0,16.0,14.0,1157.0,12.9,0.0,0.02,0.31,0.0,0.02,0.03,1.32,63.4,88.5,4.9,0.62,0.08,0.78,1.17,1.32,0.7,1.48,2.18,0.62
