PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Javier Muñoz,MF,0.0,0.03,0.65,0.12,0.09,0.12,1.7,43.5,79.2,3.82,0.94,0.59,0.82,2.47,2.0,1.18,0.94,1.59,0.41
Fábio Silva,FW,0.42,0.35,2.51,0.14,0.06,0.4,1.95,22.07,63.7,1.25,1.67,1.04,5.01,5.92,0.49,0.21,0.7,1.32,2.58
Sandro Ramírez,AM,0.51,0.18,2.35,0.22,0.15,0.34,2.42,28.24,63.9,1.98,2.49,0.81,3.23,4.99,1.25,0.88,0.73,1.17,0.59
Mika Màrmol,FB,0.0,0.01,0.51,0.07,0.09,0.1,1.39,56.17,78.5,3.73,0.95,0.37,0.81,1.46,2.12,1.68,2.12,4.17,0.88
Dario Essugo,MF,0.08,0.02,1.06,0.0,0.02,0.05,1.96,49.37,86.8,4.33,0.98,0.82,0.33,0.49,2.78,1.96,1.06,2.13,1.31
Álex Muñoz,FB,0.27,0.06,0.64,0.0,0.04,0.11,0.82,54.38,82.0,3.11,0.92,0.09,1.28,3.39,2.66,1.28,1.83,4.39,1.56
Viti,FB,0.0,0.0,0.0,0.1,0.07,0.07,1.18,44.31,82.3,2.06,1.77,0.2,1.08,3.05,3.34,1.67,1.38,2.85,1.08
José Campaña,MF,0.0,0.01,0.38,0.25,0.08,0.09,2.63,65.59,87.2,6.26,0.5,0.75,0.38,1.13,1.63,1.88,0.25,1.5,1.25
Oliver McBurnie,FW,0.0,0.12,1.41,0.35,0.19,0.31,2.59,26.03,69.7,1.65,0.35,0.94,4.59,5.07,0.82,0.47,0.47,1.18,4.48
Juan Herzog,CB,0.0,0.03,0.48,0.0,0.0,0.03,0.0,48.47,85.3,1.78,0.0,0.0,1.13,0.0,1.13,1.29,0.97,4.85,2.26
Marvin,FB,0.0,0.02,0.17,0.0,0.1,0.12,0.67,43.49,74.9,2.85,2.85,0.17,1.34,5.04,2.01,0.84,1.51,2.69,0.84
