PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Jon Rowe,AM,0.37,0.45,4.84,0.37,0.52,0.99,3.35,32.98,81.4,3.73,3.73,2.61,6.15,9.88,1.3,0.19,0.37,0.0,0.56
Jonas Martin,MF,0.2,0.06,0.39,0.0,0.06,0.14,1.57,53.65,87.9,3.73,1.57,0.39,0.79,1.38,2.16,1.18,0.59,2.16,0.98
Jonathan Clauss,FB,0.08,0.08,0.93,0.31,0.31,0.39,3.01,49.2,73.8,3.7,2.01,0.54,2.47,5.24,2.78,2.16,1.08,3.55,0.54
Jonathan David,FW,0.35,0.34,1.99,0.18,0.16,0.5,2.11,23.45,80.8,1.7,1.23,0.76,5.26,6.14,0.88,0.18,0.47,0.29,0.64
Jonathan Gradit,CB,0.0,0.03,0.78,0.0,0.03,0.06,1.13,53.22,82.4,5.48,0.7,0.17,0.52,0.17,1.91,1.22,0.96,4.35,3.39
Jordan Amavi,FB,0.0,0.03,0.91,0.0,0.02,0.05,1.59,59.92,73.4,4.1,2.51,0.8,0.46,2.39,2.73,0.8,1.14,2.05,1.71
Jordan Ferri,MF,0.0,0.02,0.74,0.09,0.05,0.07,2.51,60.31,88.4,6.89,0.74,0.19,0.84,2.05,2.61,0.56,0.84,1.12,0.74
Jordan James,MF,0.0,0.05,1.45,0.0,0.12,0.17,2.76,47.5,85.0,5.39,1.05,0.66,0.79,0.53,2.5,1.32,1.18,1.32,0.66
Jordan Lefort,CB,0.0,0.01,0.2,0.05,0.06,0.07,1.0,55.15,83.1,3.0,0.1,0.2,0.6,0.55,1.7,1.05,1.6,5.3,1.3
Jordan Veretout,MF,0.15,0.09,0.82,0.0,0.04,0.13,2.1,51.71,82.9,5.77,1.87,0.3,1.35,3.45,1.35,0.22,0.82,1.42,0.52
Joris Chotard,MF,0.09,0.05,0.62,0.0,0.03,0.08,1.24,39.28,80.4,4.34,0.98,0.53,0.35,1.68,2.31,0.98,1.24,2.84,0.98
Joseph Okumu,CB,0.11,0.05,0.76,0.0,0.0,0.05,1.41,62.49,83.0,6.39,1.3,0.65,0.87,0.11,2.27,1.41,1.62,4.98,2.06
Joshua King,FW,0.32,0.35,2.53,0.16,0.13,0.47,1.66,19.3,71.3,1.74,1.98,1.9,4.82,5.85,0.47,0.24,0.63,1.27,2.21
Josué Casimir,FW,0.1,0.13,1.13,0.21,0.11,0.25,2.27,25.88,69.7,2.06,2.68,0.72,2.37,5.15,2.16,0.1,0.82,2.16,0.52
Jubal,CB,0.0,0.05,0.85,0.0,0.02,0.07,0.43,32.78,84.6,1.1,0.0,0.06,1.34,0.12,2.25,0.67,2.38,6.15,2.32
Julien Le Cardinal,CB,0.0,0.03,0.79,0.11,0.02,0.07,0.91,49.94,85.9,2.27,0.45,0.11,1.13,0.11,1.59,2.72,1.25,4.43,1.7
Junya Ito,AM,0.2,0.17,1.02,0.15,0.28,0.46,4.45,42.62,65.7,4.76,4.3,1.89,3.02,9.41,1.18,0.46,1.23,0.31,0.67
Kamory Doumbia,AM,0.12,0.08,1.15,0.12,0.09,0.17,4.03,47.76,78.6,4.72,0.81,1.15,1.84,3.68,2.99,2.19,1.04,1.04,0.81
Keito Nakamura,AM,0.46,0.32,2.73,0.06,0.07,0.4,1.93,25.32,73.5,3.02,3.36,0.97,4.21,6.54,0.91,0.46,0.8,0.46,0.28
Kelvin Amian,FB,0.07,0.01,0.29,0.0,0.03,0.04,1.6,37.47,80.8,2.84,1.6,0.51,0.73,3.57,2.47,0.22,0.8,2.98,0.8
Kenny Lala,FB,0.0,0.04,0.3,0.06,0.05,0.09,2.02,58.42,78.0,4.39,2.08,0.53,0.3,2.26,2.37,1.07,1.07,2.2,0.12
Kévin Danois,MF,0.0,0.07,1.12,0.0,0.08,0.15,3.76,45.91,80.3,6.91,1.32,1.32,2.34,3.15,3.56,1.52,0.61,1.42,0.91
Kevin Danso,CB,0.0,0.04,0.83,0.0,0.08,0.13,1.0,64.17,85.6,4.33,0.75,0.08,1.42,0.08,1.58,1.67,2.08,5.17,3.42
Ki-Jana Hoever,FB,0.0,0.02,0.47,0.08,0.09,0.1,1.58,42.83,68.5,3.47,2.37,0.32,1.26,5.05,2.13,0.95,1.5,2.84,1.26
Lamine Camara,MF,0.15,0.11,1.39,0.37,0.2,0.31,4.09,61.56,82.4,6.29,1.17,0.66,1.02,2.05,3.14,1.61,1.61,1.39,1.02
Lassine Sinayoko,FW,0.06,0.13,1.82,0.25,0.21,0.35,3.96,27.42,75.9,2.45,2.2,0.63,4.65,7.92,1.13,0.57,0.69,1.57,1.01
Léo Pétrot,FB,0.0,0.01,0.2,0.07,0.03,0.04,1.05,46.24,78.8,2.22,0.78,0.33,0.59,3.46,2.87,1.63,1.63,3.4,1.11
Leo Skiri Østigård,CB,0.07,0.05,0.44,0.0,0.01,0.07,0.59,58.46,84.8,3.67,0.22,0.07,0.81,0.07,1.47,1.1,0.88,5.94,3.45
Leonardo Balerdi,CB,0.0,0.01,0.25,0.0,0.04,0.05,1.25,103.9,93.9,4.74,0.5,0.56,0.5,0.19,1.99,1.56,1.31,2.8,1.31
Lilian Brassier,CB,0.0,0.03,0.64,0.0,0.0,0.03,0.53,74.96,84.9,4.48,1.28,0.11,1.39,0.85,0.96,1.28,1.07,2.99,2.03
Loïc Nego,FB,0.0,0.05,0.6,0.0,0.02,0.07,1.42,41.37,74.5,3.45,2.32,0.75,1.87,6.14,1.95,1.35,0.82,2.85,0.75
Lorenz Assignon,FB,0.07,0.03,0.52,0.15,0.08,0.11,2.52,52.96,79.9,4.81,4.0,1.11,2.52,7.56,1.56,1.11,0.96,3.26,1.41
Louis Mouton,MF,0.0,0.12,1.43,0.11,0.12,0.24,1.98,44.34,79.2,3.51,1.21,1.1,1.76,2.96,3.07,0.99,1.32,1.43,0.33
Luc Zogbé,FB,0.0,0.03,0.93,0.0,0.02,0.05,2.02,46.71,76.1,2.79,0.62,0.62,0.78,2.79,4.66,2.02,1.24,2.95,1.71
Lucas Beraldo,CB,0.08,0.04,0.41,0.0,0.02,0.05,0.91,94.48,93.1,6.06,0.58,0.0,0.5,0.0,1.82,1.08,0.58,2.07,1.41
Lucas Stassin,FW,0.29,0.32,1.73,0.38,0.22,0.54,1.63,22.43,70.9,1.25,1.53,0.58,3.74,6.71,0.86,0.1,0.58,0.38,0.96
Ludovic Ajorque,FW,0.52,0.23,1.49,0.06,0.14,0.37,2.46,24.49,69.9,1.81,0.39,0.39,3.88,4.65,0.84,0.26,0.71,0.9,4.97
Ludovic Blas,AM,0.33,0.23,2.45,0.33,0.16,0.39,4.19,37.16,74.5,4.41,3.05,1.8,4.47,7.9,1.36,0.38,0.82,0.44,0.44
Luis Henrique,FB,0.4,0.16,1.04,0.23,0.13,0.29,3.68,44.28,79.9,4.54,2.7,1.5,2.93,8.4,0.69,0.29,0.58,1.27,0.0
M'Bala Nzola,FW,0.48,0.59,2.96,0.08,0.1,0.7,2.88,19.06,74.8,1.68,1.6,0.8,5.85,8.25,0.32,0.32,0.56,0.48,2.48
